id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4954,2023-06-27,39,28,14,12,4,2023-06-27 00:00:00.0000,2023-06-27 00:00:00.0000
4955,2023-06-28,8,32,5,21,33,2023-06-28 00:00:00.0000,2023-06-28 00:00:00.0000
4956,2023-06-29,17,14,27,10,2,2023-06-29 00:00:00.0000,2023-06-29 00:00:00.0000
4957,2023-06-30,36,3,20,11,30,2023-06-30 00:00:00.0000,2023-06-30 00:00:00.0000
4958,2023-07-01,12,22,8,39,7,2023-07-01 00:00:00.0000,2023-07-01 00:00:00.0000
4959,2023-07-03,28,34,33,39,13,2023-07-03 00:00:00.0000,2023-07-03 00:00:00.0000
4960,2023-07-04,14,27,29,26,35,2023-07-04 00:00:00.0000,2023-07-04 00:00:00.0000
4961,2023-07-05,5,8,7,25,30,2023-07-05 00:00:00.0000,2023-07-05 00:00:00.0000
4962,2023-07-06,21,17,2,33,14,2023-07-06 00:00:00.0000,2023-07-06 00:00:00.0000
4963,2023-07-07,30,16,12,25,28,2023-07-07 00:00:00.0000,2023-07-07 00:00:00.0000
4964,2023-07-08,33,24,1,18,4,2023-07-08 00:00:00.0000,2023-07-08 00:00:00.0000
4965,2023-07-10,15,4,19,37,1,2023-07-10 00:00:00.0000,2023-07-10 00:00:00.0000
4966,2023-07-11,35,38,25,24,36,2023-07-11 00:00:00.0000,2023-07-11 00:00:00.0000
4967,2023-07-12,9,1,32,2,10,2023-07-12 00:00:00.0000,2023-07-12 00:00:00.0000
4968,2023-07-13,19,6,10,32,4,2023-07-13 00:00:00.0000,2023-07-13 00:00:00.0000
4969,2023-07-14,14,25,37,12,20,2023-07-14 00:00:00.0000,2023-07-14 00:00:00.0000
4970,2023-07-15,8,22,19,21,16,2023-07-15 00:00:00.0000,2023-07-15 00:00:00.0000
4971,2023-07-17,29,1,22,18,30,2023-07-17 00:00:00.0000,2023-07-17 00:00:00.0000
4972,2023-07-18,23,29,38,15,12,2023-07-18 00:00:00.0000,2023-07-18 00:00:00.0000
4973,2023-07-19,2,35,22,12,20,2023-07-19 00:00:00.0000,2023-07-19 00:00:00.0000
4974,2023-07-20,23,13,20,18,31,2023-07-20 00:00:00.0000,2023-07-20 00:00:00.0000
4975,2023-07-21,27,26,31,39,9,2023-07-21 00:00:00.0000,2023-07-21 00:00:00.0000
4976,2023-07-22,15,32,4,9,24,2023-07-22 00:00:00.0000,2023-07-22 00:00:00.0000
4977,2023-07-24,31,34,2,37,13,2023-07-24 00:00:00.0000,2023-07-24 00:00:00.0000
4978,2023-07-25,15,32,18,26,19,2023-07-25 00:00:00.0000,2023-07-25 00:00:00.0000
4979,2023-07-26,37,13,6,33,38,2023-07-26 00:00:00.0000,2023-07-26 00:00:00.0000
4980,2023-07-27,13,39,10,18,37,2023-07-27 00:00:00.0000,2023-07-27 00:00:00.0000
4981,2023-07-28,20,26,7,1,13,2023-07-28 00:00:00.0000,2023-07-28 00:00:00.0000
4982,2023-07-29,37,30,18,25,20,2023-07-29 00:00:00.0000,2023-07-29 00:00:00.0000
4983,2023-07-31,13,21,3,19,35,2023-07-31 00:00:00.0000,2023-07-31 00:00:00.0000
4984,2023-08-01,10,15,1,30,3,2023-08-01 00:00:00.0000,2023-08-01 00:00:00.0000
4985,2023-08-02,3,10,11,29,25,2023-08-02 00:00:00.0000,2023-08-02 00:00:00.0000
