id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
137,2007-07-10,29,12,19,8,1,2007-07-10 00:00:00.0000,2007-07-10 00:00:00.0000
138,2007-07-11,19,20,29,14,5,2007-07-11 00:00:00.0000,2007-07-11 00:00:00.0000
139,2007-07-12,32,27,13,21,8,2007-07-12 00:00:00.0000,2007-07-12 00:00:00.0000
140,2007-07-13,1,26,20,3,31,2007-07-13 00:00:00.0000,2007-07-13 00:00:00.0000
141,2007-07-16,35,39,16,15,22,2007-07-16 00:00:00.0000,2007-07-16 00:00:00.0000
142,2007-07-17,5,17,30,27,23,2007-07-17 00:00:00.0000,2007-07-17 00:00:00.0000
143,2007-07-18,24,34,3,33,21,2007-07-18 00:00:00.0000,2007-07-18 00:00:00.0000
144,2007-07-19,19,24,37,6,1,2007-07-19 00:00:00.0000,2007-07-19 00:00:00.0000
145,2007-07-20,34,38,25,17,35,2007-07-20 00:00:00.0000,2007-07-20 00:00:00.0000
146,2007-07-23,36,15,20,11,3,2007-07-23 00:00:00.0000,2007-07-23 00:00:00.0000
147,2007-07-24,28,34,19,12,5,2007-07-24 00:00:00.0000,2007-07-24 00:00:00.0000
148,2007-07-25,19,9,1,21,10,2007-07-25 00:00:00.0000,2007-07-25 00:00:00.0000
149,2007-07-26,24,7,20,33,34,2007-07-26 00:00:00.0000,2007-07-26 00:00:00.0000
150,2007-07-27,8,21,11,18,12,2007-07-27 00:00:00.0000,2007-07-27 00:00:00.0000
151,2007-07-30,12,15,4,8,20,2007-07-30 00:00:00.0000,2007-07-30 00:00:00.0000
152,2007-07-31,7,39,17,14,37,2007-07-31 00:00:00.0000,2007-07-31 00:00:00.0000
153,2007-08-01,28,9,36,32,4,2007-08-01 00:00:00.0000,2007-08-01 00:00:00.0000
154,2007-08-02,21,39,15,9,35,2007-08-02 00:00:00.0000,2007-08-02 00:00:00.0000
155,2007-08-03,13,32,4,12,8,2007-08-03 00:00:00.0000,2007-08-03 00:00:00.0000
156,2007-08-06,36,8,13,2,33,2007-08-06 00:00:00.0000,2007-08-06 00:00:00.0000
157,2007-08-07,23,10,36,31,9,2007-08-07 00:00:00.0000,2007-08-07 00:00:00.0000
158,2007-08-08,27,11,7,12,29,2007-08-08 00:00:00.0000,2007-08-08 00:00:00.0000
159,2007-08-09,22,2,24,38,9,2007-08-09 00:00:00.0000,2007-08-09 00:00:00.0000
160,2007-08-10,33,13,26,17,16,2007-08-10 00:00:00.0000,2007-08-10 00:00:00.0000
161,2007-08-13,29,15,1,31,24,2007-08-13 00:00:00.0000,2007-08-13 00:00:00.0000
162,2007-08-14,26,25,4,36,15,2007-08-14 00:00:00.0000,2007-08-14 00:00:00.0000
163,2007-08-15,32,28,12,30,5,2007-08-15 00:00:00.0000,2007-08-15 00:00:00.0000
164,2007-08-16,35,7,30,14,29,2007-08-16 00:00:00.0000,2007-08-16 00:00:00.0000
165,2007-08-17,16,23,30,5,35,2007-08-17 00:00:00.0000,2007-08-17 00:00:00.0000
166,2007-08-20,23,28,4,26,17,2007-08-20 00:00:00.0000,2007-08-20 00:00:00.0000
167,2007-08-21,19,1,7,29,26,2007-08-21 00:00:00.0000,2007-08-21 00:00:00.0000
168,2007-08-22,3,17,22,31,34,2007-08-22 00:00:00.0000,2007-08-22 00:00:00.0000
169,2007-08-23,28,7,20,16,4,2007-08-23 00:00:00.0000,2007-08-23 00:00:00.0000
170,2007-08-24,12,16,39,2,7,2007-08-24 00:00:00.0000,2007-08-24 00:00:00.0000
171,2007-08-27,10,23,12,19,36,2007-08-27 00:00:00.0000,2007-08-27 00:00:00.0000
172,2007-08-28,4,36,14,29,7,2007-08-28 00:00:00.0000,2007-08-28 00:00:00.0000
173,2007-08-29,18,32,34,15,25,2007-08-29 00:00:00.0000,2007-08-29 00:00:00.0000
174,2007-08-30,7,28,14,25,37,2007-08-30 00:00:00.0000,2007-08-30 00:00:00.0000
175,2007-08-31,22,20,14,27,29,2007-08-31 00:00:00.0000,2007-08-31 00:00:00.0000
176,2007-09-03,18,12,27,24,33,2007-09-03 00:00:00.0000,2007-09-03 00:00:00.0000
177,2007-09-04,18,7,5,35,24,2007-09-04 00:00:00.0000,2007-09-04 00:00:00.0000
178,2007-09-05,34,38,31,1,28,2007-09-05 00:00:00.0000,2007-09-05 00:00:00.0000
179,2007-09-06,28,19,8,33,31,2007-09-06 00:00:00.0000,2007-09-06 00:00:00.0000
180,2007-09-07,37,19,30,2,23,2007-09-07 00:00:00.0000,2007-09-07 00:00:00.0000
181,2007-09-10,32,37,28,19,13,2007-09-10 00:00:00.0000,2007-09-10 00:00:00.0000
182,2007-09-11,27,4,38,35,21,2007-09-11 00:00:00.0000,2007-09-11 00:00:00.0000
183,2007-09-12,23,35,7,10,17,2007-09-12 00:00:00.0000,2007-09-12 00:00:00.0000
184,2007-09-13,1,3,26,10,15,2007-09-13 00:00:00.0000,2007-09-13 00:00:00.0000
185,2007-09-14,23,24,36,39,11,2007-09-14 00:00:00.0000,2007-09-14 00:00:00.0000
186,2007-09-17,26,16,24,25,30,2007-09-17 00:00:00.0000,2007-09-17 00:00:00.0000
187,2007-09-18,11,24,1,13,27,2007-09-18 00:00:00.0000,2007-09-18 00:00:00.0000
188,2007-09-19,37,4,6,24,17,2007-09-19 00:00:00.0000,2007-09-19 00:00:00.0000
189,2007-09-20,25,7,26,20,13,2007-09-20 00:00:00.0000,2007-09-20 00:00:00.0000
190,2007-09-21,24,38,17,34,12,2007-09-21 00:00:00.0000,2007-09-21 00:00:00.0000
191,2007-09-24,2,36,31,3,37,2007-09-24 00:00:00.0000,2007-09-24 00:00:00.0000
192,2007-09-25,1,19,27,36,17,2007-09-25 00:00:00.0000,2007-09-25 00:00:00.0000
